Country.Name,Country.Code,Indicator.Name,Indicator.Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,0.0367,0.0415,0.0524,0.0574,0.0566,0.0707,0.0698,0.0806,0.0855,0.0895,0.0935,0.0967,0.0958,0.0985,0.1131,0.1188,0.1285,0.1435,0.1576,0.2129,0.22,0.2465,0.2717,0.2732,0.3087,0.3384,0.2293,0.3684,0.3775,0.3825,0.3478,0.3508,0.3761,0.4264,0.4408,0.4779,0.4873,0.5224,0.5148,0.5502,0.5283,0.3403,0.4052,0.4401,0.4695,0.491,0.5145,0.4961,0.4955,0.589,0.4822,0.5312,0.5336,0.5615,
Africa Eastern and Southern,AFE,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,525.5465,527.2004,540.748,569.6089,583.0772,600.9151,622.3242,633.2209,620.4978,637.79,657.273,675.9526,698.6435,708.3698,733.3081,747.9717,754.6831,776.1881,792.8095,797.8893,820.7853,809.2591,810.4209,815.7132,844.2682,879.8536,911.9626,939.7799,967.3311,966.4352,973.2067,992.2964,1016.5837,1050.874,1104.3686,1137.4864,1143.3116,1198.8736,1253.8962,1233.6853,1273.2431,1271.1156,1315.4037,1352.521,1389.3735,1386.5722,1407.4312,1423.875,1444.9125,1476.0819,1421.7752,1443.8112,1443.9357,1447.7204,
Afghanistan,AFG,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,15.4374,15.3641,13.3166,13.9349,15.1779,15.8431,15.9433,16.0882,15.6403,15.4655,15.3677,15.5148,15.5157,15.4534,14.3839,14.3056,12.6002,12.5037,12.7541,12.3555,12.5616,12.6234,11.6442,11.7458,11.7687,11.9885,13.2249,14.2478,15.0743,16.0482,13.9157,12.2065,14.757,15.3371,15.2975,15.5714,15.7654,16.857,20.1171,23.0632,26.937,31.0167,28.8932,27.2544,27.4201,27.4083,26.634,27.6919,27.5533,26.9828,26.6463,27.6431,28.6141,29.4601,
Africa Western and Central,AFW,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,281.0262,298.3866,333.5716,372.7198,411.8109,359.5206,397.4877,390.5643,384.0005,451.6158,431.372,376.7576,374.2599,372.6762,385.7363,404.2139,402.3534,393.8587,415.6117,451.6489,459.6361,477.7214,504.5879,510.9007,541.7113,583.4034,659.9789,638.7123,624.3661,621.2512,665.8873,681.714,624.8162,676.6111,678.5616,682.9589,664.6665,646.438,660.2923,652.0004,691.8063,724.1349,742.7863,760.6047,783.6105,796.9121,808.1489,825.0809,852.7216,884.5371,866.4966,886.6322,893.4701,906.0481,
Angola,AGO,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,18.9988,18.8661,21.459,23.0189,23.6854,22.5196,18.5862,23.251,25.3966,25.9139,26.374,24.9577,25.2025,26.9128,27.7471,29.3995,30.8002,32.6667,34.9145,35.2818,31.94,31.6742,30.5779,34.5023,45.4483,52.6022,63.3724,66.0631,71.1852,71.8714,67.0232,64.8397,63.006,63.1853,68.3839,66.4485,59.2384,57.6005,61.0807,62.58,69.601,68.5281,70.6164,75.2037,77.2957,81.775,78.8759,73.4244,69.5046,69.9108,61.6801,64.409,67.2108,67.7008,
Albania,ALB,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,8.2249,8.1709,9.1048,8.5854,8.8543,9.0334,9.6442,10.2009,11.2233,12.3809,12.5802,11.6015,12.2445,13.0953,13.4093,12.9722,13.1968,13.4842,13.3796,13.2922,11.4931,9.036,6.1522,6.1898,6.8872,6.5295,6.2626,5.51,5.7699,6.98,7.1797,7.3674,7.9894,8.1784,8.3871,7.9774,8.0227,7.977,7.7615,7.7406,8.0482,8.4792,8.1594,8.4245,8.8997,8.7399,8.3565,9.1641,9.1528,8.6186,7.9674,8.3953,7.812,7.6737,
Andorra,AND,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,732.7551,755.1897,786.4448,870.8116,838.1151,843.815,957.4265,982.891,1030.0495,1126.636,1107.6402,976.9852,977.2933,992.2524,1006.4247,1037.3068,1092.8499,1144.182,1225.7506,1283.7666,1260.6591,1215.4667,1280.2012,1360.6188,1431.3692,1470.0769,1514.3,1576.5556,1585.2351,1618.4708,1697.6016,1745.2512,1770.6002,1848.6845,1926.8651,2030.1657,2108.7201,2154.9268,2273.2055,2323.037,2432.6168,2479.9386,2641.5026,2678.0158,2749.9794,2813.2417,2888.3395,2932.0588,2943.3591,2980.779,2855.4014,2975.1448,3070.5077,3110.2915,
United Arab Emirates,ARE,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,29.766,35.8113,39.4742,50.679,52.2036,53.0713,64.3357,65.381,70.8999,56.3725,58.8045,53.9136,51.9088,49.7862,62.9986,65.1372,65.1304,68.7219,68.1353,77.1242,79.4954,87.88,87.4148,94.0481,98.9374,103.9829,109.0839,110.8714,111.9416,114.6956,117.2359,129.7537,131.3252,139.422,146.0642,155.5337,162.3419,172.8549,200.4129,201.5195,209.713,217.4052,226.7423,238.4611,241.8537,253.9895,261.9933,254.1171,238.5634,251.5906,249.3237,256.9649,267.6329,267.8232,
Argentina,ARG,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,219.5188,222.8484,229.8697,237.7765,238.1058,238.6448,247.0866,257.6457,250.361,256.2416,251.624,245.836,242.5447,248.6488,249.8876,241.5279,247.3417,251.4772,259.9959,259.1676,253.7964,257.6654,259.696,261.6067,267.2207,269.8835,277.07,281.8611,285.6024,291.6603,288.26,284.1961,283.4881,305.0625,323.8719,327.1338,340.4883,349.4249,350.8903,327.6279,331.4677,337.8568,344.9333,353.3854,352.5828,358.4936,361.2349,364.4737,363.819,360.9262,347.3124,367.614,374.7613,365.6846,
Armenia,ARM,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,12.6721,12.8337,13.6391,14.6684,15.6878,16.9427,17.3793,17.9773,18.6713,19.3232,20.4415,20.8785,21.4618,21.528,21.5736,21.6328,21.8657,22.1189,22.0493,21.6583,24.3124,24.9294,14.0137,7.7203,5.3405,6.0246,5.0676,5.7695,5.8009,5.4265,5.9424,6.0835,5.6386,6.0896,6.5732,7.3211,7.2928,8.071,8.5466,7.2575,7.0043,7.6317,8.5021,8.5399,8.8962,8.8239,8.6555,8.8681,8.9951,9.4715,9.9936,10.6714,10.3645,10.8363,
American Samoa,ASM,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,0.0061,0.0061,0.0061,0.0062,0.0062,0.0062,0.0063,0.0064,0.0064,0.0064,0.0064,0.0065,0.0068,0.0071,0.0074,0.0077,0.0078,0.0081,0.0082,0.0085,0.0074,0.0074,0.0075,0.0076,0.0077,0.0077,0.0078,0.0078,0.0079,0.008,0.008,0.0085,0.0085,0.0086,0.0086,0.0086,0.0085,0.0085,0.0085,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0085,0.0085,0.0085,0.0085,0.0085,
Antigua and Barbuda,ATG,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,0.1584,0.1649,0.1859,0.1875,0.1734,0.198,0.186,0.2,0.205,0.2104,0.2138,0.1971,0.231,0.1677,0.1871,0.1913,0.1972,0.2327,0.2443,0.244,0.2463,0.2479,0.2496,0.2468,0.2634,0.2725,0.271,0.2828,0.2884,0.2919,0.2251,0.2226,0.2403,0.2547,0.2583,0.2647,0.2883,0.3067,0.3243,0.3568,0.3469,0.2788,0.293,0.3267,0.3474,0.3589,0.3838,0.3457,0.3635,0.4072,0.3413,0.371,0.3723,0.3886,
Australia,AUS,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,315.027,321.3046,333.4508,340.7941,355.4743,364.8706,367.989,374.7069,365.6672,369.8716,377.0645,380.2125,387.5086,374.5064,386.6454,402.6009,407.6939,418.6398,427.446,450.8114,460.2959,463.0406,464.8486,467.688,473.3833,481.4473,494.8125,507.8956,530.54,536.8934,546.5104,556.2184,564.8485,555.3444,575.3785,578.2469,583.3082,592.7062,591.3833,599.4883,604.604,610.0299,613.3936,609.3944,600.0331,602.0584,603.848,613.4302,611.3213,609.1698,584.5715,580.7378,569.0103,571.8398,
Austria,AUT,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,71.8109,74.9957,77.1999,80.9641,78.7271,76.204,81.6569,79.053,81.0649,83.7559,81.8809,78.2066,76.0375,75.9107,78.3792,79.7633,78.1953,78.3098,77.0959,76.373,80.4572,84.6021,79.0536,79.0251,79.3218,82.1749,86.1519,85.3395,85.4677,83.403,83.5141,88.4232,90.276,95.7921,95.6365,96.2015,93.7679,90.639,90.2653,82.7494,88.9336,87.1975,83.8313,84.6494,81.0201,82.1687,82.7174,85.1631,82.2069,83.4574,77.2734,80.7242,75.4085,72.9215,
Azerbaijan,AZE,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,32.7159,33.0707,34.9206,37.34,39.7972,42.5484,43.6869,45.0189,47.2215,48.7808,50.9379,52.1863,53.0699,54.0988,55.0305,55.8856,56.9583,58.0381,57.8544,57.9321,67.842,65.994,55.3659,48.9788,43.441,42.6123,37.2697,36.6278,37.0992,38.081,39.8557,39.2245,39.086,41.9042,41.9126,44.8344,46.6001,47.0548,51.5872,45.9623,44.9445,47.3555,50.4513,51.6891,53.5015,53.3632,53.1283,52.8886,53.601,56.3803,54.7245,56.9862,59.0263,62.5503,
Burundi,BDI,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,1.9905,1.9837,2.0768,2.132,2.1549,2.2371,2.2506,2.2652,2.2981,2.3692,2.1317,1.9338,1.9571,2.0042,2.0788,2.0319,2.2287,2.271,2.3946,2.4412,2.8922,3.0261,2.9762,3.0195,3.0014,3.1152,3.2274,3.2903,3.259,2.8463,2.9146,2.865,2.8349,2.8749,3.027,3.1418,3.3475,3.616,3.6354,3.8389,4.1405,4.3879,4.3697,5.3883,5.3196,5.3057,5.6148,6.2474,6.4626,6.1101,6.0366,6.8354,6.9962,7.0491,
Belgium,BEL,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,166.994,157.3905,168.8866,174.7031,175.0252,155.5877,164.9891,163.6822,167.9412,177.2439,166.8298,155.1829,146.8693,137.5677,141.6683,139.1164,138.82,137.9018,138.292,139.1588,140.5496,144.486,142.1851,140.258,147.586,148.4851,153.8284,150.1391,153.8004,149.801,151.199,151.3759,143.518,147.2102,146.0974,143.0646,139.5676,136.8457,138.6669,131.2146,139.624,129.2707,127.4017,128.8169,122.0131,126.7347,125.7471,123.7283,124.178,123.7138,115.8177,119.7527,112.2797,106.3702,
